,group,batch_group_number,only_female_owns_enterprises,number_enterprises_hh_C,child_under_6,treatment,shock_any,miss_shock_any,Age_C,Married_C,Muslim_C,HH_Size_C,Years_Education_C,Financial_Control_C,homeowner_C,miss_Age_C,miss_Married_C,miss_Muslim_C,miss_HH_Size_C,miss_Years_Education_C,miss_Financial_Control_C,miss_homeowner_C,No_Drain_C,miss_No_Drain_C,all_hh_enterprise_profits,female_entreprise_profits,miss_number_enterprises_hh_C,sec_loanamount1,sec_loanamount2,sec_loanamount3,sec_loanamount4,sec_loanamount5,sec_loanamount6,miss_sec_loanamount1,miss_sec_loanamount2,miss_sec_loanamount3,miss_sec_loanamount4,miss_sec_loanamount5,miss_sec_loanamount6
320,173,9.0,1.0,2.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,200.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
321,198,8.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
322,198,8.0,1.0,1.0,0.0,0.0,1.0,0.0,45.0,1.0,0.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,4500.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
323,198,8.0,1.0,1.0,0.0,0.0,1.0,0.0,32.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
324,198,8.0,0.0,2.0,1.0,0.0,1.0,0.0,20.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
325,179,8.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
326,179,8.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,1.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
327,179,8.0,1.0,1.0,0.0,0.0,1.0,0.0,24.0,1.0,0.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
328,22,7.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,750.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
329,22,7.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0,1.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,500.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
